Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
535,28/5,1/15,400,2025:03:12 18:42:31
536,28/5,1/15,400,2025:03:12 18:42:46
537,63/10,1/15,400,2025:03:12 18:43:09
538,8,1/15,400,2025:03:12 18:43:34
539,18,1/15,400,2025:03:12 18:43:58
540,11,1/15,400,2025:03:12 18:44:13
541,11,1/15,400,2025:03:12 18:44:29
542,8,1/20,400,2025:03:12 18:44:58
543,13,1/20,400,2025:03:12 18:45:22
544,9,1/20,400,2025:03:12 18:45:41
545,25,1/20,400,2025:03:12 18:46:00
546,25,1/20,400,2025:03:12 18:46:12
547,8,1/20,400,2025:03:12 18:46:42
548,28/5,1/20,400,2025:03:12 18:47:00
549,28/5,1/20,400,2025:03:12 18:47:14
550,4,1/20,400,2025:03:12 18:47:33
551,9/2,1/20,400,2025:03:12 18:47:46
552,9/2,1/15,400,2025:03:12 18:48:13
553,9/2,1/15,400,2025:03:12 18:48:24
554,16,1/15,400,2025:03:12 18:48:40
555,71/10,1/15,400,2025:03:12 18:48:50
556,4,1/15,400,2025:03:12 18:49:04
557,4,1/15,400,2025:03:12 18:49:19
558,9,1/15,400,2025:03:12 18:49:32
559,9,1/15,400,2025:03:12 18:50:00
560,16,1/15,400,2025:03:12 18:50:47
561,16,1/15,400,2025:03:12 18:51:11
562,11,1/15,400,2025:03:12 18:52:03
563,9,1/15,400,2025:03:12 18:52:22
564,9,1/15,400,2025:03:12 18:52:29
565,11,1/15,400,2025:03:12 18:52:42
566,5,1/15,400,2025:03:12 18:53:00
567,5,1/15,400,2025:03:12 18:53:11
568,14,1/15,400,2025:03:12 18:53:31
569,71/10,1/15,400,2025:03:12 18:53:48
570,71/10,1/20,400,2025:03:12 18:54:05
571,7/2,1/20,400,2025:03:12 18:54:42
572,7/2,1/20,400,2025:03:12 18:54:45
573,28/5,1/20,400,2025:03:12 18:56:10
574,10,1/20,400,2025:03:12 18:56:31
575,71/10,1/20,400,2025:03:12 18:57:01
576,63/10,1/40,400,2025:03:12 18:57:12
577,5,1/40,400,2025:03:12 18:57:34
578,5,1/40,400,2025:03:12 18:58:03
579,4,1/40,400,2025:03:12 18:58:22
580,9/2,1/40,400,2025:03:12 18:58:33
581,5,1/40,400,2025:03:12 18:58:45
582,5,1/40,400,2025:03:12 18:58:54
583,5,1/40,400,2025:03:12 18:59:46
584,5,1/40,400,2025:03:12 19:00:21
585,4,1/20,400,2025:03:12 19:00:40
586,9/2,1/20,400,2025:03:12 19:01:44
587,28/5,1/20,400,2025:03:12 19:01:52
588,28/5,1/20,400,2025:03:12 19:02:09
589,9/2,1/20,400,2025:03:12 19:03:53
590,28/5,1/13,400,2025:03:12 19:04:58
591,5,1/60,400,2025:03:12 19:05:17
592,5,1/60,800,2025:03:12 19:06:20
593,28/5,1/25,800,2025:03:12 19:07:29
594,28/5,1/25,800,2025:03:12 19:07:50
595,28/5,1/25,800,2025:03:12 19:07:52
596,9/2,1/25,800,2025:03:12 19:08:51
597,9/2,1/25,800,2025:03:12 19:10:02
598,5,1/13,800,2025:03:12 19:10:20
599,9/2,1/13,800,2025:03:12 19:10:42
600,9/2,1/13,800,2025:03:12 19:10:49
601,9/2,1/13,800,2025:03:12 19:11:01
602,9/2,1/13,800,2025:03:12 19:11:10
603,28/5,1/10,800,2025:03:12 19:11:38
604,28/5,1/10,800,2025:03:12 19:12:10
605,28/5,1/10,800,2025:03:12 19:19:30
